% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (7.948000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +8.853721600e-01 +8.853721600e-01 -4.748146278e+02 -4.748146278e+02 +0.0000e+00 +0.0000e+00
5 0 +8.263721600e-01 +8.263721600e-01 -4.748736278e+02 -4.748736278e+02 -1.2500e+00 -1.2500e+00
35 0 +7.463872496e-01 +7.463872496e-01 -4.749536128e+02 -4.749536128e+02 -1.3108e+00 -1.1615e+00
40 0 +7.072482156e-01 +7.072482156e-01 -4.749927518e+02 -4.749927518e+02 -1.1860e+00 -1.2057e+00
42 0 +4.054254261e-01 +4.054254261e-01 -4.752945746e+02 -4.752945746e+02 -1.9407e-01 -4.8315e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.000000000000e+03) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.549127232e+01 +2.549127232e+01 -9.745087277e+02 -9.745087277e+02 +0.0000e+00 +0.0000e+00
4 0 +2.371272320e+00 +2.371272320e+00 -9.976287277e+02 -9.976287277e+02 -2.5000e+00 +2.5000e+00
16 0 +1.437522320e+00 +1.437522320e+00 -9.985624777e+02 -9.985624777e+02 -4.3750e+00 +4.3750e+00
24 0 +9.933348200e-01 +9.933348200e-01 -9.990066652e+02 -9.990066652e+02 -2.8125e+00 +3.4375e+00
40 0 +8.818477519e-01 +8.818477519e-01 -9.991181522e+02 -9.991181522e+02 -2.8664e+00 +3.3971e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-4.158000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +8.495593600e+00 +8.495593600e+00 -3.308440640e+01 -3.308440640e+01 +0.0000e+00 +0.0000e+00
10 0 +1.705843600e+00 +1.705843600e+00 -3.987415640e+01 -3.987415640e+01 +1.8750e+00 +3.1250e+00
50 0 +1.679557487e+00 +1.679557487e+00 -3.990044251e+01 -3.990044251e+01 +1.8654e+00 +3.1214e+00
100 0 +1.643398804e+00 +1.643398804e+00 -3.993660120e+01 -3.993660120e+01 +1.8519e+00 +3.1175e+00
